,rank,title,point,link,date,genre,summary
0,1,Squid Game,"57,980",https://flixpatrol.com//title/squid-game/,09/17/2021,Mystery,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor."
1,2,Money Heist,"44,382",https://flixpatrol.com//title/money-heist/,05/02/2017,Action,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing."
2,3,Lupin,"42,690",https://flixpatrol.com//title/lupin/,01/08/2021,Crime,"Inspired by the adventures of Arsene Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
3,4,Sex/Life,"34,609",https://flixpatrol.com//title/sexlife/,06/25/2021,Drama,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.
4,5,Bridgerton,"33,973",https://flixpatrol.com//title/bridgerton/,12/25/2020,Drama,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family."
5,6,New Amsterdam,"33,561",https://flixpatrol.com//title/new-amsterdam/,09/25/2018,Doctors,"Dr. Max Goodwin, the hospital's newest medical director, sets out to tear up the bureaucracy and provide exceptional care."
6,7,Lucifer,"32,230",https://flixpatrol.com//title/lucifer/,01/25/2016,Superhero,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape."
7,8,Who Killed Sara?,"30,363",https://flixpatrol.com//title/who-killed-sara/,03/24/2021,Crime,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit."
8,9,Yo soy Betty la fea,"29,271",https://flixpatrol.com//title/yo-soy-betty-la-fea/,10/25/1999,Cinderella Story,"Yo soy Betty, la fea is a telenovela filmed in Colombia, written by Fernando Gaitán and produced from October 25, 1999 to May 8, 2001 by the Colombian network RCN. More than a dozen versions of the telenovela have been made in other countries. In the United States, both the comedy-drama hit Ugly Betty and Televisa program La Fea Más Bella are based on the Colombian soap opera.  Betty, la Fea re-aired on Spanish-language U.S. network TeleFutura in January 2009. Eight years after the telenovela's original run, the highly anticipated return of the original version of Yo Soy Betty, La Fea delivered impressive ratings for the network, attracting over one million viewers, more than half a million of which were adults aged 18–49. In addition, the premiere episode doubled and in some cases nearly tripled its prior audience among all key demographics.  Due to the success of re-runs aired in the United States, in June 2009, Yo soy Betty, la fea re-aired in México on Canal de las Estrellas.  Betty, la Fea is arguably the most successful telenovela of all time and one of the most popular television shows in the world. It is the first telenovela to have been remade worldwide and has been regarded as bringing the telenovela to new levels of success."
9,10,Maid,"29,008",https://flixpatrol.com//title/maid/,10/01/2021,Drama,"After fleeing an abusive relationship, a young mother finds a job cleaning houses and fights to provide a better future for her child."
