,date,movie_title,tvshow_title
0,2021-01-01,We Can Be Heroes,Bridgerton
1,2021-01-02,We Can Be Heroes,Bridgerton
2,2021-01-03,We Can Be Heroes,Bridgerton
3,2021-01-04,We Can Be Heroes,Bridgerton
4,2021-01-05,We Can Be Heroes,Bridgerton
5,2021-01-06,We Can Be Heroes,Bridgerton
6,2021-01-07,We Can Be Heroes,Bridgerton
7,2021-01-08,Pieces of a Woman,Bridgerton
8,2021-01-09,Pieces of a Woman,Bridgerton
9,2021-01-10,Pieces of a Woman,Lupin
10,2021-01-11,Pieces of a Woman,Lupin
11,2021-01-12,Pieces of a Woman,Lupin
12,2021-01-13,We Can Be Heroes,Lupin
13,2021-01-14,We Can Be Heroes,Lupin
14,2021-01-15,We Can Be Heroes,Lupin
15,2021-01-16,Outside the Wire,Lupin
16,2021-01-17,Outside the Wire,Lupin
17,2021-01-18,Outside the Wire,Lupin
18,2021-01-19,Outside the Wire,Lupin
19,2021-01-20,Outside the Wire,Lupin
20,2021-01-21,Outside the Wire,Lupin
21,2021-01-22,Outside the Wire,Lupin
22,2021-01-23,Outside the Wire,Fate: The Winx Saga
23,2021-01-24,Outside the Wire,Fate: The Winx Saga
24,2021-01-25,Outside the Wire,Fate: The Winx Saga
25,2021-01-26,The White Tiger,Fate: The Winx Saga
26,2021-01-27,The White Tiger,Fate: The Winx Saga
27,2021-01-28,The White Tiger,Fate: The Winx Saga
28,2021-01-29,The White Tiger,Fate: The Winx Saga
29,2021-01-30,Below Zero,Fate: The Winx Saga
30,2021-01-31,Below Zero,Fate: The Winx Saga
31,2021-02-01,Below Zero,Fate: The Winx Saga
32,2021-02-02,Below Zero,Fate: The Winx Saga
33,2021-02-03,Below Zero,Bridgerton
34,2021-02-04,Below Zero,Bridgerton
35,2021-02-05,Finding 'Ohana,Firefly Lane
36,2021-02-06,Space Sweepers,Firefly Lane
37,2021-02-07,Space Sweepers,Firefly Lane
38,2021-02-08,Space Sweepers,Firefly Lane
39,2021-02-09,Space Sweepers,Firefly Lane
40,2021-02-10,Space Sweepers,Firefly Lane
41,2021-02-11,News of the World,Firefly Lane
42,2021-02-12,News of the World,Crime Scene: The Vanishing at the Cecil Hotel
43,2021-02-13,To All the Boys: Always and Forever,Crime Scene: The Vanishing at the Cecil Hotel
44,2021-02-14,To All the Boys: Always and Forever,Crime Scene: The Vanishing at the Cecil Hotel
45,2021-02-15,To All the Boys: Always and Forever,Crime Scene: The Vanishing at the Cecil Hotel
46,2021-02-16,To All the Boys: Always and Forever,Crime Scene: The Vanishing at the Cecil Hotel
47,2021-02-17,To All the Boys: Always and Forever,Firefly Lane
48,2021-02-18,To All the Boys: Always and Forever,Behind Her Eyes
49,2021-02-19,To All the Boys: Always and Forever,Behind Her Eyes
50,2021-02-20,To All the Boys: Always and Forever,Behind Her Eyes
51,2021-02-21,To All the Boys: Always and Forever,Behind Her Eyes
52,2021-02-22,I Care a Lot,Behind Her Eyes
53,2021-02-23,I Care a Lot,Behind Her Eyes
54,2021-02-24,I Care a Lot,Behind Her Eyes
55,2021-02-25,I Care a Lot,Behind Her Eyes
56,2021-02-26,I Care a Lot,Behind Her Eyes
57,2021-02-27,I Care a Lot,Behind Her Eyes
58,2021-02-28,I Care a Lot,Ginny & Georgia
59,2021-03-01,Crazy About Her,Ginny & Georgia
60,2021-03-02,Crazy About Her,Ginny & Georgia
61,2021-03-03,Crazy About Her,Ginny & Georgia
62,2021-03-04,Moxie,Ginny & Georgia
63,2021-03-05,Moxie,Ginny & Georgia
64,2021-03-06,Sentinelle,Ginny & Georgia
65,2021-03-07,Sentinelle,Ginny & Georgia
66,2021-03-08,Sentinelle,Ginny & Georgia
67,2021-03-09,Sentinelle,Ginny & Georgia
68,2021-03-10,Sentinelle,Ginny & Georgia
69,2021-03-11,Sentinelle,Ginny & Georgia
70,2021-03-12,Sentinelle,Ginny & Georgia
71,2021-03-13,Yes Day,Ginny & Georgia
72,2021-03-14,Yes Day,Ginny & Georgia
73,2021-03-15,Yes Day,Ginny & Georgia
74,2021-03-16,Yes Day,Ginny & Georgia
75,2021-03-17,Yes Day,Ginny & Georgia
76,2021-03-18,Yes Day,Ginny & Georgia
77,2021-03-19,Deadly Illusions,Ginny & Georgia
78,2021-03-20,Deadly Illusions,Ginny & Georgia
