,id,reviewScore,createDate,reviewContent
0,3365273545,5,2022-02-11T10:11:00.147+0000,"1+1행사해서 구매했어요..요즘 변을 못봐서 유산균보고 있었는데, 행사까지 하니 개이득으로 샀습니다.^^
유산균에 질건강까지 챙기니 진짜진짜 개이득~~ㅎ
한달꾸준히 섭취후 후기 또 남기겠습니다.^^"
1,3372892342,4,2022-02-22T01:59:25.828+0000,"양이  많아 먹기가 힘들고 뜯을때도 양쪽으로 2번 뜯어야 해서 불편하네요.
아마 리뉴얼된거 같은데 전에 먹었던 청포도 맛 2g짜리가 휠씬 나아요."
2,3374245600,5,2022-02-23T12:52:11.442+0000,"좀텁텁해요.입자도굵엇니 목넘김 불편해요.물머금고 한봉털어너으니 잘녹아 넘겨집니다.늘그렇게 먹엇네요,"
3,3372529584,5,2022-02-21T08:49:56.371+0000,예전에 먹던건데다시 주문했어요~~ 신랑도 이건 먹을수있다고 해서 구매했어요~
4,3361529565,5,2022-02-07T04:59:22.054+0000,"주말에 주문한건데 월요일도착!
역시 GNM 배송은 정말 최고예요~~!!!
맛 때문에 항상 알약으로 사먹다가
맛있다는 후기보고 이번엔 가루로 사봤는데
정말 맛있어요! 풍선껌맛나요
한포 양이 좀 많은거같긴 하지만 맛있으니까 괜찮아요"
5,3374476021,5,2022-02-24T00:45:01.876+0000,"제가 일요일날 주문했던걸로 기억하는데,
제품이 바로 송장 접수가 됐더라구요
그래서 월요일날 택배로 바로 받았어요~
안그래도 원래 먹던 유산균 다 먹어서 늦게오면 어쩌나 걱정했는데 진짜 거의 로켓배송입니다ㅋ
유산균도 너무 달지않고 맛있어요
아이들도 좋아할거같아요^^"
6,3366943877,5,2022-02-14T00:12:15.752+0000,두번째구매에요 확실히 먹고나서 더 좋은거 같아요 근데 밀크시슬빼고 따로살수있음 좋겠어요ㅜ 전 그건 안먹어서ㅜㅜ
7,3367216039,5,2022-02-14T05:34:08.214+0000,온식구가 같이 먹어요. 여자아이들도 먹으면 좋을것 같고 올리고당을 따로 사지 않고 다 들어있어 편리합니다
8,3373234868,5,2022-02-22T09:21:56.193+0000,"항상먹고있고 지금도 먹고있는데
딴회사유산균보다 내몸에 제일잘맞는것같아요"
9,3374039840,5,2022-02-23T08:51:25.739+0000,배송 엄청 빠르네요~ 늘 잘먹고 있습니다!
10,3364509676,5,2022-02-10T12:37:34.537+0000,"배송 빠르네요
눈과 종합비타민이 같이 있는걸 구입했어요
루테인은 크기가 크네요"
11,3372088421,5,2022-02-20T16:08:38.822+0000,"유산균 가루 양이 많아요. 
맛은 달달하고 먹 기 편해요^^"
12,3369645242,5,2022-02-17T07:23:02.298+0000,"맛도좋고 좋아요 ♡
가루가 양도 많네요
기능성도 중요한데 맛도 중요한저에겐 딱입니다"
13,3372859948,5,2022-02-22T01:22:05.468+0000,와 주말에 시켰는데 월요일 도착이요 잘먹여보겠습니다
14,3365898626,5,2022-02-12T06:55:00.175+0000,항상 꾸준히 복용하는 제품입니다. 먹기전과 먹은후가 달라요. 앞으로도 잘부탁드려요
15,3367123164,5,2022-02-14T03:28:33.980+0000,속에 가스찼던거 한달만에 다 해소했어요. 다량 패키지 찾아서 많이 사야겠어요
16,3372244144,5,2022-02-21T02:00:13.283+0000,꾸준히 먹고있는데 효과가 좋아서 계속 구매하고 있어요~
17,3367240481,5,2022-02-14T06:12:10.558+0000,믿고 먹는 GNM 솔직히 조정석배우때문에 주문하기 시작했는데 합리적인 가격과 이건 맛도 좋아서 더 만족합니다.
18,3368592719,5,2022-02-16T02:47:26.130+0000,매일 너무 잘 먹고 있어요 재구매 몇번짼지몰라교
19,3362335077,5,2022-02-08T05:39:04.288+0000,"이것저것 챙겨먹기 시작하면서, 유산균과 유산균먹이가 함께 있으니  편한것 같아요~
꾸준히 먹는이가 제일 약빨 잘 받으니~ 꾸준히 먹으려고요"
0,3372087246,5,2022-02-20T16:04:32.456+0000,"달달하고 맛있어서 먹기 편합니다.
유통기간도 23년 4월로 길어요!!"
1,3367122514,5,2022-02-14T03:27:47.392+0000,유산균 다 비슥하지 했는데 이건 확실히 속이.편하네요. 재구입 의사 100%
2,3359318478,4,2022-02-04T07:02:34.756+0000,먹던거라주문했네요~장건강위해유산균은필수라잘챙겨먹을려구요~약간새콤해서먹기두편하고유산균과프리가같이들어있어한번에먹으니편하네요~
3,3361933129,4,2022-02-07T14:14:34.798+0000,재구매하였는데  1년치를구매했는데유통기한이 빠듯해서 기븐이좀 안좋아요 한두개산것도아닌데 .유통기한좀긴걸보내주시지. .
4,3368087162,5,2022-02-15T09:51:53.263+0000,먹고있는 유산균이 있어서 아직 먹어보진 않았지만 배송도 빠르고 평이 좋아서 기대중입니다!
5,3365991797,5,2022-02-12T08:59:53.865+0000,"온가족이 복용하려 구매했어요~
휴대도 편해 좋아요~
건강들 챙기세요~^^"
