,id,reviewScore,createDate,reviewContent
0,3370559590,5,2022-02-18T09:11:16.767+0000,쓴물이 자주 올라와 고생하는 남편 주려고 샀습니다. 역류성 식도염이 있구요.  매일매일은 못먹더라도 챙겨먹으려고 노력중입니다.  아침 공복상태에 먹고있고 한박스반정도 먹었는데 쓴물올라오는 증상은 확실히 좋아진것같아요.  일단은 한박스 더 먹어보려고 합니다.
1,3366178131,5,2022-02-12T13:41:09.449+0000,위가 안좋아서 남편이 꾸준히 먹고있는데  확실히 속이 편안하다네요. 본인입으로 건강식품사달란말 한건 이게 처음이예요. 속불편한 분들 꾸준히 드셔보세요~ 박스 배송상태도 깔끔하고 먹기도 적당한 양이예요
2,3372238155,5,2022-02-21T01:54:13.947+0000,"아침마다 속쓰린 남편이 꾸준히 먹고 있는 양배추즙입니다. 처음엔 냄새 싫다고 하더니, 이제는 알아서 챙겨 먹어요. 확실히 속쓰림은 덜 한가봐요."
3,3355757303,5,2022-01-27T04:18:56.202+0000,배송 짱 빠릅니다~~몇 달 째 잘 먹고 좋은거같어서 이번 설에 지인 선물로 주문했어요. .일단 선물하기에 박스가 고급져보이고 가격도 부담없고 제가 먹어본 결과 효과있는거같어 선택하게되었네요.
4,3355760348,5,2022-01-27T04:23:15.887+0000,배송 짱 빠릅니다~~몇 달 째 잘 먹고 좋은거같어서 이번 설에 지인 선물로 주문했어요. .일단 선물하기에 박스가 고급져보이고 가격도 부담없고 제가 먹어본 결과 효과있는거같어 선택하게되었네요.
5,3355759823,5,2022-01-27T04:22:29.087+0000,배송 짱 빠릅니다~~몇 달 째 잘 먹고 좋은거같어서 이번 설에 지인 선물로 주문했어요. .일단 선물하기에 박스가 고급져보이고 가격도 부담없고 제가 먹어본 결과 효과있는거같어 선택하게되었네요.
6,3355756712,5,2022-01-27T04:18:03.968+0000,배송 짱 빠릅니다~~몇 달 째 잘 먹고 좋은거같어서 이번 설에 지인 선물로 주문했어요. .일단 선물하기에 박스가 고급져보이고 가격도 부담없고 제가 먹어본 결과 효과있는거같어 선택하게되었네요.
7,3369951323,5,2022-02-17T13:53:56.972+0000,역류성식도염 때문에 샀어요 커피 매운거 끊고 저녁도 일찍먹고 요거 마시니 괜찮아졌어요 맛도 역하지않고 채소 우린맛이네요 계속 먹으려고요
8,3364536709,5,2022-02-10T13:08:33.174+0000,"아침에 일어나서 공복에 먹으면 속이 훨씬 편해서 좋아요.
냉장고에 가득 채워놓으니 든든하네요.
계속 주문한 거 다 먹고나면 재구매 귀찮아서 한동안 안 먹다가 생각나서 또 주문해서 먹다가 반복이었는데 이제부터는 꾸준히 먹어보려구요."
9,3372143174,5,2022-02-20T23:50:27.909+0000,세번째 구매입니다. 한동안 괜찮다가 또 속이 안 좋아져서 당장 재구매했습니다. 잘 마실게요!
10,3369095133,5,2022-02-16T12:40:49.222+0000,"일일 두개씩 꾸준히 먹고 있어요!
처음 먹을땐 조금 부담스런 맛이었는데
계속 먹으니 괜찮네요!
건강 생각하니 더욱 열심히 챙기게 되네요"
11,3372511828,5,2022-02-21T08:18:21.463+0000,"확실히 예전보다 속은 좀 편해진 거 같아요.
맛도 적응돼서 시원하게 해서 마시면 맛있고 좋아요!!"
12,3373058588,5,2022-02-22T05:50:15.340+0000,"배송도 빠르고 효과도 좋아서 재구매 했어요!!
이번에는 주문하는김에 두박스 주문했답니다"
13,3372588468,5,2022-02-21T10:43:33.043+0000,"위가 자주아파서 정기적으로 주문해서 먹어요
비릿한맛은 심하지않아서 먹을만해요"
14,3373750845,5,2022-02-23T02:47:09.904+0000,재구매에요! 리뉴얼 전보다 조금 양배추맛이 더 많이 나는거 같아요ㅎㅎ
15,3369139223,5,2022-02-16T13:32:12.839+0000,가격이저렴해서원래먹던거말고 새로 주문했어요 근데 좀 날카롭네요 ~~
16,3365869305,5,2022-02-12T06:16:29.677+0000,한참 먹어서 위염 겨우나았는데 요즘 또 일때문에 스트레스를 받아서 위염이 또 도졌네요. 이거 먹으면 괜찮아지더라구요. 맛도 브로콜리랑 섞여있어서 맛있고. 대만족이에요 항상👍🏻.
17,3369476522,5,2022-02-17T03:54:39.785+0000,역류성식도염때문에 양배추즙 찾다가 유기농이라 믿고 구입해봅니다. 꾸준히 먹고있는데 좋으면 또 구입할께요
18,3373374202,5,2022-02-22T11:50:22.332+0000,늘 먹던거라 재구매했어요. 근데 파우치가 너무 날카로워서 베일거같아요..
19,3366026662,5,2022-02-12T09:55:20.836+0000,"깔끔하니 빠른배송으로 받았어요
선물용으로 좋을것같아요ㅎ
비린맛? 이상한 맛없이 먹기 괜찮았어요~
유통기한은 23년8월8일이네요
단맛은 없고 건강한맛이에요!
잘 먹겠습니다^^"
0,3365827656,5,2022-02-12T05:22:53.316+0000,배송도 빠르고 포장도 꼼꼼히 잘 도착했어요! 한포씩 아침저녁으로 먹기 너무 편해요! 위염이랑 식도염에 좋다고해서 구매했는데 효과가 있었으면 좋겠네요ㅎㅎ
1,3373652088,5,2022-02-23T00:15:37.811+0000,위장이 안좋아져서 매일 먹으려고 주문했는데 효과가 있으면 좋겠네요 잘먹겠습니다
2,3371104952,5,2022-02-19T05:09:35.086+0000,"저희도 먹는거여서 부모님시켜드렸는데 맛도좋고 먹고나니 위가 편해졌다고 하세요
다음에 또 시켜야겠어요"
3,3365239807,4,2022-02-11T09:24:27.472+0000,양배추즙은 처음이라 그래도 먹기 쉽게 브로콜리 사과 들어있는걸로 구매했는데 이것도 맛이 ㅠㅠ 건강생각하면서 먹긴하지만 먹기 힘들어요 ㅠㅠㅠ
4,3361778405,5,2022-02-07T10:37:01.964+0000,"배송도 빠르고 포장상태도 아주 좋아요!
양배추즙 처음먹어보는데 음 아주 건강한맛이네요 ㅋㅋㅋ 양배추즙 잘못먹으면 비리고 역하다고 하눈데 이건 좀 괜찮은 것 같아요! 유통기간도 내년까지로 넉넉합니다"
5,3373769870,5,2022-02-23T03:15:15.023+0000,맛은 건강한 맛이네요. 잘 먹어보고 후기남길게요.
6,3368742213,5,2022-02-16T06:02:13.937+0000,"배송 빠르고 합리적인 가격에 잘 구매한 것 같아요!
건강을 위해 챙겨 먹어보려구요~ㅎㅎ"
7,3373755849,5,2022-02-23T02:53:55.178+0000,"첨먹고 몸에 좋은거 같아 이번엔 2박스 주문합니다
감사해요"
8,3367469927,5,2022-02-14T12:50:03.784+0000,"다시 찾게 되네요, 제 입맛에는 역하지도않고 먹기 딱 좋아요 구매한거 꾸준히 먹어야겠어요~"
9,3369191853,5,2022-02-16T14:42:25.203+0000,너무 잘벅고 있어요. 포장도 정말 꼼꼼하고 위 질환 많이 줄었습니다.
10,3367505459,5,2022-02-14T13:49:50.653+0000,위 건강에 양배추즙 효과가 진짜 있네요 맛도 나쁘지 않아서 꾸준히 먹으려구요
11,3374151626,5,2022-02-23T11:09:20.829+0000,잘먹고 있어요 속이 쓰리고 아플때 좋은것 같아요
12,3365764710,5,2022-02-12T04:05:22.864+0000,와 진짜 배송 진짜 빨라요 밤에 시키고 잤는데 다음날 아침에 집앞에 와있네요 대박 늘 먹던거라 또 시켰어요 굳
13,3366096385,5,2022-02-12T11:40:13.306+0000,시원하게 먹으면 훨씬 맛있어요! 양배추즙이 몸에 잘 맞아고 효과도 좋은 것 같아서 샀어요.
14,3354256907,5,2022-01-25T05:01:18.319+0000,"선물용인데 포장 하나하나 따로 해주시고 전 네박스가온지 알앗어요 꼼꼼한배송 정말 쵝오예요~
후기도 좋으니 믿고 구매햇어요^^
친정엄마 시어머니 두분다 속아프다고 하셔서
설에 드리려구요 포장도 넘이쁘네요 빠른배송 감사해요"
15,3361409312,5,2022-02-07T03:07:14.776+0000,일요일저녁에 주문했는데 월요일 오전에 받았어요. 배송 진짜 빠르네요. 예전에 먹어봤던거라 믿고 주문했는데 여전히 맛은 없네요ㅋㅋ 건강에 좋은거니 열심히 먹을게요.
16,3373149711,5,2022-02-22T07:43:17.264+0000,"맛있어요
양도 많아요"
17,3371480418,5,2022-02-19T15:01:50.629+0000,"냉장고에 넣어두고, 매일 하루도 빠짐없이 간편하게 잘 마셨어요~"
18,3374474112,5,2022-02-24T00:42:33.211+0000,꾸준히 복용하면 효과가 있네요
19,3372493283,5,2022-02-21T07:46:18.904+0000,"헐
와
진짜 빨리 배송되어 왔어요
고마워요
재구매해서 잘먹을께요"
0,3368090729,5,2022-02-15T09:55:51.158+0000,어머니가  좋아하십니다. 여기것이 드시기가 제일 낫다고 하시네요.
1,3374272249,5,2022-02-23T13:22:43.403+0000,"남편 위,장 건강 위해 늘 먹는 제품입니다^^"
2,3366038700,5,2022-02-12T10:14:06.496+0000,"꾸준히 먹고 잇고, 주변인들에게 주고 있어요^^ 
위가 확실히 편해진 느낌입니다"
