,title,point,link,Show,date,genre,streaming_site,summary
0,Friends,"335,308,900",https://flixpatrol.com//title/friends/,TV Show,09/22/1994,Comedy,"['amazon', 'google', 'hbo', 'itunes', 'netflix']","The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan."
1,Supernatural,"86,940,500",https://flixpatrol.com//title/supernatural/,TV Show,09/13/2005,Fantasy,"['amazon', 'google', 'itunes', 'netflix']","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way."
2,Bones,"57,555,200",https://flixpatrol.com//title/bones-2005/,TV Show,09/13/2005,Crime,"['disney', 'google', 'itunes', 'plus']","Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless."
3,Tom and Jerry,"54,567,900",https://flixpatrol.com//title/tom-and-jerry/,TV Show,02/10/1940,Animation,[],"Tom and Jerry is a series of theatrical animated cartoon films created by William Hanna and Joseph Barbera for Metro-Goldwyn-Mayer, centering on a rivalry between a cat and a mouse whose chases include slapstick comedy."
4,Vikings,"48,519,800",https://flixpatrol.com//title/vikings/,TV Show,03/03/2013,History,"['fandango', 'google', 'hbo', 'itunes', 'netflix']","Vikings follows the adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors."
5,Game of Thrones,"48,498,800",https://flixpatrol.com//title/game-of-thrones/,TV Show,04/17/2011,Fantasy,"['amazon', 'fandango', 'google', 'hbo', 'itunes']","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond."
6,Rio,"42,888,800",https://flixpatrol.com//title/rio/,Movie,04/15/2011,ForGirls,"['disney', 'itunes', 'netflix']","From the makers of the hit \Ice Age\ series comes \Rio,\ a comedy adventure about taking a walk on the wild side. Blu is a domesticated Macaw who never learned to fly, living a comfortable life with his owner and best friend Linda in the small town of Moose Lake, Minnesota. Blu and Linda think hes the last of his kind, but when they learn about another Macaw who lives in Rio de Janeiro, they head to the faraway and exotic land to find Jewel, Blus female counterpart. Not long after they arrive, Blu and Jewel are kidnapped by a group of bungling animal smugglers. With the help of street smart Jewel, and a group of wise-cracking and smooth-talking city birds, Blu escapes. Now, with his new friends by his side, Blu will have to find the courage to learn to fly, thwart the kidnappers who are hot on their trail, and return to Linda, the best friend a bird ever had."
7,Mr. Robot,"40,400,000",https://flixpatrol.com//title/mr-robot/,TV Show,05/27/2015,Drama,"['prime', 'hbo', 'itunes', 'netflix']","A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America."
8,The Simpsons,"37,905,300",https://flixpatrol.com//title/the-simpsons/,TV Show,12/17/1989,AdultAnimation,"['disney', 'google', 'hulu', 'plus']","Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general."
9,The Simpsons,"37,905,300",https://flixpatrol.com//title/the-simpsons/,Franchise,1989 – 2007,Animated,[],"STARRING
Julie Kavner, Dan Castellaneta, Nancy Cartwright


DIRECTED BY
David Silverman"
