,rank,title,point,link,date,genre,summary
0,1,Red Notice,"25,918",https://flixpatrol.com//title/red-notice/,11/12/2021,Action,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen."
1,2,We Can Be Heroes,"25,311",https://flixpatrol.com//title/we-can-be-heroes-2020/,12/25/2020,Adventure,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet."
2,3,Army of the Dead,"18,888",https://flixpatrol.com//title/army-of-the-dead/,05/14/2021,Action,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted."
3,4,Wish Dragon,"16,953",https://flixpatrol.com//title/wish-dragon/,06/11/2021,Animated,"Din, a working-class college student, and Long, a cynical but all-powerful dragon capable of granting wishes, set off on a hilarious adventure through modern day Shanghai in pursuit of Din's long-lost childhood friend, Lina."
4,5,Army of Thieves,"15,081",https://flixpatrol.com//title/army-of-thieves/,10/29/2021,Action,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.
5,6,The Mitchells vs. The Machines,"14,902",https://flixpatrol.com//title/the-mitchells-vs-the-machines/,04/30/2021,Animated,"After Katie Mitchell is accepted into the film school of her dreams, her family decides to use this opportunity to drive Katie to school as a road trip. When their plans are interrupted by a tech uprising, the Mitchells realize that they must work together to save the world."
6,7,Fatherhood,"14,660",https://flixpatrol.com//title/fatherhood/,06/18/2021,Comedy,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own."
7,8,The Unforgivable,"13,458",https://flixpatrol.com//title/the-unforgivable/,12/10/2021,Drama,"Released from prison into a society that won't forgive her past, a woman seeks redemption by searching for the sister she left behind."
8,9,The Guilty,"12,930",https://flixpatrol.com//title/the-guilty-2021/,10/01/2021,Crime,A troubled police detective demoted to 911 operator duty scrambles to save a distressed caller during a harrowing day of revelations — and reckonings.
9,10,Yes Day,"12,809",https://flixpatrol.com//title/yes-day/,03/12/2021,Comedy,"Parents attempt to make it through an entire day by only saying, yes to their children's requests."
