Squid Game (season 1),South Korea,Mystery,"142,000,000"
Bridgerton (season 1),United States,Drama,"82,000,000"
The Witcher (season 1),United States,Fantasy,"76,000,000"
Lupin (season 1),France,Crime,"76,000,000"
Money Heist (season 5),Spain,Action,"69,000,000"
Sex/Life (season 1),United States,Drama,"67,000,000"
Maid (season 1),United States,Drama,"67,000,000"
Money Heist (season 4),Spain,Action,"65,000,000"
Stranger Things (season 3),United States,Mystery,"64,000,000"
"Tiger King: Murder, Mayhem and Madness (season 1)",United States,Documentary,"64,000,000"
The Queen's Gambit (miniseries),United States,Drama,"62,000,000"
Sweet Tooth (season 1),United States,Superhero,"60,000,000"
Emily in Paris (season 1),United States,Drama,"58,000,000"
Fate: The Winx Saga (season 1),Italy,Fantasy,"57,000,000"
Sex Education (season 3),United States,Comedy,"55,000,000"
Shadow and Bone (season 1),United States,Fantasy,"55,000,000"
Who Killed Sara? (season 1),Mexico,Crime,"55,000,000"
You (season 2),United States,Crime,"54,000,000"
Ginny & Georgia (season 1),United States,Drama,"52,000,000"
Too Hot to Handle (season 1),United States,Reality-Show,"51,000,000"
Cobra Kai (season 1),United States,Action,"50,000,000"
Firefly Lane (season 1),United States,Drama,"49,000,000"
Ratched (season 1),United States,Drama,"48,000,000"
The Umbrella Academy (season 1),United States,Superhero,"45,000,000"
Money Heist (season 3),Spain,Action,"44,000,000"
The Umbrella Academy (season 2),United States,Superhero,"43,000,000"
Cobra Kai (season 3),United States,Action,"41,000,000"
You (season 1),United States,Crime,"40,000,000"
Sex Education (season 1),United States,Comedy,"40,000,000"
Space Force (season 1),United States,Comedy,"40,000,000"
Never Have I Ever (season 1),United States,Comedy,"40,000,000"
Lucifer (season 5),United States,Superhero,"38,000,000"
Elite (season 4),Spain,Crime,"37,000,000"
Floor is Lava (season 1),United States,Reality-Show,"37,000,000"
Barbaren (season 1),Germany,History,"37,000,000"
Dark Desire (season 1),Mexico,Drama,"35,000,000"
Who Killed Sara? (season 2),Mexico,Crime,"34,000,000"
Our Planet (season 1),United Kingdom,Documentary,"33,000,000"
Unbelievable (season 1),United States,Drama,"32,000,000"
Raising Dion (season 1),United States,Teens,"32,000,000"
Dead to Me (season 1),United States,Drama,"30,000,000"
Love is Blind (season 1),United States,Reality-Show,"30,000,000"
Ozark (season 3),United States,Drama,"29,000,000"
Too Hot to Handle (season 2),United States,Reality-Show,"29,000,000"
When They See Us (season 1),United States,Drama,"25,000,000"
Selena: The Series (season 1),Mexico,Drama,"25,000,000"
The Last Dance (miniseries),United States,Basketball,"23,800,000"
Madre solo hay dos (season 1),Mexico,Comedy,"23,000,000"
Sweet Home (season 1),South Korea,Horror,"22,000,000"
The Crown (season 3),United Kingdom,History,"21,000,000"
Elite (season 1),Spain,Crime,"20,000,000"
The Sons of Sam: A Descent Into Darkness (season 1),United States,Documentary,"19,000,000"
Alice in Borderland (season 1),Japan,Mystery,"18,000,000"
The Crown (season 2),United Kingdom,History,"15,000,000"
The Circle (season 2),United States,Reality-Show,"14,000,000"
