rank,title,original,point,days,day_ratio,total
1,365 Days,no,573,134,4,573
2,Kingdom: Ashin of the North,yes,481,88,5,481
3,Night in Paradise,yes,479,95,5,479
4,Space Sweepers,yes,432,57,8,432
5,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,no,299,43,7,299
6,Sinkhole,no,272,34,8,272
7,Sweet & Sour,yes,267,48,6,267
8,Red Notice,yes,253,34,7,253
9,Parasite,no,241,44,5,241
10,Samjin Company English Class,no,238,32,7,238
11,Army of the Dead,yes,236,32,7,236
12,The 8th Night,yes,228,30,8,228
13,Extreme Job,no,218,34,6,218
14,The Golden Holiday,no,216,28,8,216
15,Spider-Man: Far from Home,no,202,31,7,202
16,The Swordsman,no,186,21,9,186
17,SAS: Red Notice,no,184,27,7,184
18,Inside Men,no,174,25,7,174
19,Asura: The City of Madness,no,168,30,6,168
20,Army of Thieves,yes,167,22,8,167
21,Moby Dick,no,166,19,9,166
22,Kate,yes,166,21,8,166
23,Outside the Wire,yes,164,25,7,164
24,Hostage: Missing Celebrity,no,160,19,8,160
25,The Hunt,no,158,20,8,158
26,The Boss Baby,no,156,33,5,156
27,Blood Red Sky,yes,156,24,6,156
28,The Kissing Booth 3,yes,155,23,7,155
29,We Can Be Heroes,yes,154,28,6,154
30,The Night of the Undead,no,153,19,8,153
31,What Happened to Mr Cha?,yes,152,18,8,152
32,Gemini Man,no,149,21,7,149
33,Escape from Mogadishu,no,147,16,9,147
34,The Guilty,yes,145,17,9,145
35,The Yin Yang Master,no,145,17,9,145
36,The Forgotten Battle,yes,144,16,9,144
37,Rurouni Kenshin: The Final,yes,144,24,6,144
38,Logan,no,143,20,7,143
39,Voice of Silence,no,137,15,9,137
40,Major Grom: Plague Doctor,no,137,18,8,137
41,Love and Monsters,no,133,19,7,133
42,Me and Me,no,131,17,8,131
43,Wonder Woman,no,130,20,6,130
44,Spider-Man: Homecoming,no,127,26,5,127
45,Escape Room,no,124,17,7,124
46,To All the Boys: Always and Forever,yes,122,16,8,122
47,Rurouni Kenshin: The Beginning,yes,122,17,7,122
48,The Swindlers,no,119,15,8,119
49,I,no,118,15,8,118
50,Aloners,no,117,16,7,117
51,The Fate of the Furious,no,115,21,5,115
52,King of Prison,no,114,15,8,114
53,Honest Thief,no,113,14,8,113
54,"Lust, Caution",no,111,27,4,111
55,Monster Hunter,no,110,13,8,110
56,Beasts Clawing at Straws,no,107,15,7,107
57,Beckett,yes,105,13,8,105
58,Intimate Strangers,no,103,21,5,103
59,Thunder Force,yes,103,14,7,103
60,Venom,no,102,17,6,102
61,The Unforgivable,yes,102,12,8,102
62,Sweet Girl,yes,101,13,8,101
63,Despicable Me 3,no,100,14,7,100
64,Night Teeth,yes,99,12,8,99
65,Octonauts: The Ring Of Fire,no,99,19,5,99
66,Weathering with You,no,97,17,6,97
67,The Swarm,yes,94,12,8,94
68,I Saw the Devil,no,94,15,6,94
69,EXIT,no,93,18,5,93
70,"The Gangster, The Cop, The Devil",no,93,14,7,93
71,Intrusion,yes,93,11,8,93
