rank,title,original,point,countires,country_ratio,days,day_ratio,total
1,Squid Game,yes,"57,980",90,644,104,558,"57,980"
2,Money Heist,yes,"44,382",91,488,364,122,"44,382"
3,Lupin,yes,"42,690",83,514,256,167,"42,690"
4,Sex/Life,yes,"34,609",82,422,141,245,"34,609"
5,Bridgerton,yes,"33,973",82,414,146,233,"33,973"
6,New Amsterdam,no,"33,561",75,447,255,132,"33,561"
7,Lucifer,yes,"32,230",80,403,212,152,"32,230"
8,Who Killed Sara?,yes,"30,363",79,384,88,345,"30,363"
9,Yo soy Betty la fea,no,"29,271",17,"1,722",364,80,"29,271"
10,Maid,yes,"29,008",88,330,90,322,"29,008"
11,Ginny & Georgia,yes,"28,496",78,365,112,254,"28,496"
12,The Good Doctor,no,"27,654",55,503,233,119,"27,654"
13,You,yes,"23,940",90,266,87,275,"23,940"
14,"Pablo Escobar, The Drug Lord",no,"22,309",18,"1,239",349,64,"22,309"
15,Vincenzo,yes,"20,307",56,363,308,66,"20,307"
16,Paw Patrol,no,"20,019",53,378,364,55,"20,019"
17,Sex Education,yes,"19,667",83,237,98,201,"19,667"
18,Riverdale,no,"18,915",60,315,226,84,"18,915"
19,Pasión de gavilanes,no,"17,714",16,"1,107",308,58,"17,714"
20,Behind Her Eyes,yes,"17,409",80,218,73,238,"17,409"
21,Arcane,yes,"16,660",89,187,54,309,"16,660"
22,Friends,no,"16,539",41,403,359,46,"16,539"
23,Shadow and Bone,yes,"16,403",82,200,55,298,"16,403"
24,Snowpiercer,yes,"15,699",74,212,98,160,"15,699"
25,Sweet Tooth,yes,"15,457",82,189,40,386,"15,457"
26,Hometown Cha-Cha-Cha,yes,"15,210",52,293,124,123,"15,210"
27,CoComelon,no,"14,981",34,441,364,41,"14,981"
28,Firefly Lane,yes,"14,682",77,191,44,334,"14,682"
29,Elite,yes,"14,208",77,185,75,189,"14,208"
30,Outer Banks,yes,"14,109",72,196,46,307,"14,109"
31,The Witcher,yes,"14,055",89,158,236,60,"14,055"
32,The Serpent,yes,"13,846",75,185,104,133,"13,846"
33,Sexify,yes,"12,865",78,165,50,257,"12,865"
34,Fate: The Winx Saga,yes,"12,570",82,153,40,314,"12,570"
35,The Blacklist,no,"12,054",57,211,333,36,"12,054"
36,Clickbait,yes,"12,010",80,150,43,279,"12,010"
37,El inocente,yes,"11,843",76,156,55,215,"11,843"
38,Too Hot to Handle,yes,"11,584",74,157,67,173,"11,584"
39,Dynasty,yes,"11,091",78,142,137,81,"11,091"
40,Never Have I Ever,yes,"11,035",79,140,48,230,"11,035"
41,Virgin River,yes,"10,939",75,146,62,176,"10,939"
42,Jupiter's Legacy,yes,"10,782",81,133,26,415,"10,782"
43,Nuevo Rico Nuevo Pobre,no,"10,502",17,618,208,50,"10,502"
44,The Queen of Flow,yes,"10,485",28,374,172,61,"10,485"
45,Rick and Morty,no,"10,456",41,255,156,67,"10,456"
46,The Queen's Gambit,yes,"10,317",76,136,198,52,"10,317"
47,Hit & Run,yes,"10,271",79,130,49,210,"10,271"
48,The King's Affection,yes,"10,171",55,185,79,129,"10,171"
49,Hellbound,yes,"9,931",90,110,34,292,"9,931"
50,My Name,yes,"9,726",86,113,65,150,"9,726"
51,Narcos: Mexico,yes,"9,134",81,113,47,194,"9,134"
52,The Irregulars,yes,"8,959",82,109,35,256,"8,959"
53,Vikings,no,"8,929",67,133,224,40,"8,929"
54,Lost in Space,yes,"8,837",87,102,29,305,"8,837"
55,Cobra Kai,yes,"8,830",77,115,59,150,"8,830"
56,Good Girls,yes,"8,542",72,119,71,120,"8,542"
57,Jurassic World: Camp Cretaceous,yes,"8,131",83,98,83,98,"8,131"
58,The Five Juanas,no,"8,110",72,113,59,137,"8,110"
59,100 Dias Para Enamorarnos,no,"8,071",17,475,125,65,"8,071"
60,The Snitch Cartel: Origins,yes,"7,815",16,488,86,91,"7,815"
61,The Bold Type,no,"7,715",57,135,180,43,"7,715"
62,The Circle,yes,"7,708",55,140,74,104,"7,708"
63,Locke & Key,yes,"7,584",84,90,45,169,"7,584"
64,Brooklyn Nine-Nine,no,"7,578",60,126,262,29,"7,578"
65,Ragnarok,yes,"7,540",79,95,42,180,"7,540"
66,Titans,yes,"7,320",82,89,22,333,"7,320"
67,Nevertheless,yes,"7,235",44,164,105,69,"7,235"
68,Hospital Playlist,yes,"7,105",16,444,227,31,"7,105"
